ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
Ma5-19-103,Ma5,19,+,,,Szeto2018
Ma5-20-104,Ma5,20,+,,,Szeto2018
Ma5-21-105,Ma5,21,–,,,Szeto2018
Ma6-1-106,Ma6,1,–,,,Szeto2018
Ma6-2-107,Ma6,2,+,,,Szeto2018
Ma6-3-108,Ma6,3,–,,,Szeto2018
Ma6-4-109,Ma6,4,–,,,Szeto2018
Ma6-5-110,Ma6,5,–,,,Szeto2018
Ma6-6-111,Ma6,6,+,,,Szeto2018
Ma6-7-112,Ma6,7,+,,,Szeto2018
Ma6-8-113,Ma6,8,+,,,Szeto2018
Ma6-9-114,Ma6,9,+,,,Szeto2018
Ma6-10-115,Ma6,10,–,,,Szeto2018
Ma6-11-116,Ma6,11,–,,,Szeto2018
Ma6-12-117,Ma6,12,–,,,Szeto2018
Ma6-13-118,Ma6,13,–,,,Szeto2018
Ma6-14-119,Ma6,14,–,,,Szeto2018
Ma6-15-120,Ma6,15,–,,,Szeto2018
Ma6-16-121,Ma6,16,–,,,Szeto2018
Ma6-17-122,Ma6,17,–,,,Szeto2018
Ma6-18-123,Ma6,18,–,,,Szeto2018
Ma6-19-124,Ma6,19,+,,,Szeto2018
Ma6-20-125,Ma6,20,+,,,Szeto2018
Ma6-21-126,Ma6,21,–,,,Szeto2018
Ma7-1-127,Ma7,1,–,,,Szeto2018
Ma7-2-128,Ma7,2,+,,,Szeto2018
Ma7-3-129,Ma7,3,–,,,Szeto2018
Ma7-4-130,Ma7,4,–,,,Szeto2018
Ma7-5-131,Ma7,5,–,,,Szeto2018
Ma7-6-132,Ma7,6,+,,,Szeto2018
Ma7-7-133,Ma7,7,+,,,Szeto2018
Ma7-8-134,Ma7,8,+,,,Szeto2018
Ma7-9-135,Ma7,9,+,,,Szeto2018
Ma7-10-136,Ma7,10,–,,,Szeto2018
Ma7-11-137,Ma7,11,–,,,Szeto2018
Ma7-12-138,Ma7,12,–,,,Szeto2018
Ma7-13-139,Ma7,13,–,,,Szeto2018
Ma7-14-140,Ma7,14,–,,,Szeto2018
Ma7-15-141,Ma7,15,–,,,Szeto2018
Ma7-16-142,Ma7,16,–,,,Szeto2018
Ma7-17-143,Ma7,17,–,,,Szeto2018
Ma7-18-144,Ma7,18,–,,,Szeto2018
Ma7-19-145,Ma7,19,+,,,Szeto2018
Ma7-20-146,Ma7,20,+,,,Szeto2018
Ma7-21-147,Ma7,21,–,,,Szeto2018
Ma8-1-148,Ma8,1,–,,,Szeto2018
Ma8-2-149,Ma8,2,+,,,Szeto2018
Ma8-3-150,Ma8,3,–,,,Szeto2018
Ma8-4-151,Ma8,4,–,,,Szeto2018
Ma8-5-152,Ma8,5,–,,,Szeto2018
Ma8-6-153,Ma8,6,+,,,Szeto2018
Ma8-7-154,Ma8,7,+,,,Szeto2018
Ma8-8-155,Ma8,8,+,,,Szeto2018
Ma8-9-156,Ma8,9,+,,,Szeto2018
Ma8-10-157,Ma8,10,+,,,Szeto2018
Ma8-11-158,Ma8,11,–,,,Szeto2018
Ma8-12-159,Ma8,12,–,,,Szeto2018
Ma8-13-160,Ma8,13,–,,,Szeto2018
Ma8-14-161,Ma8,14,–,,,Szeto2018
Ma8-15-162,Ma8,15,–,,,Szeto2018
Ma8-16-163,Ma8,16,–,,,Szeto2018
Ma8-17-164,Ma8,17,–,,,Szeto2018
Ma8-18-165,Ma8,18,–,,,Szeto2018
Ma8-19-166,Ma8,19,+,,,Szeto2018
Ma8-20-167,Ma8,20,+,,,Szeto2018
Ma8-21-168,Ma8,21,–,,,Szeto2018
Ma9-1-169,Ma9,1,–,,,Szeto2018
Ma9-2-170,Ma9,2,+,,,Szeto2018
Ma9-3-171,Ma9,3,–,,,Szeto2018
Ma9-4-172,Ma9,4,–,,,Szeto2018
Ma9-5-173,Ma9,5,+,,,Szeto2018
Ma9-6-174,Ma9,6,+,,,Szeto2018
Ma9-7-175,Ma9,7,+,,,Szeto2018
Ma9-8-176,Ma9,8,+,,,Szeto2018
Ma9-9-177,Ma9,9,+,,,Szeto2018
Ma9-10-178,Ma9,10,+,,,Szeto2018
Ma9-11-179,Ma9,11,–,,,Szeto2018
Ma9-12-180,Ma9,12,–,,,Szeto2018
Ma9-13-181,Ma9,13,+,,,Szeto2018
Ma9-14-182,Ma9,14,–,,,Szeto2018
Ma9-15-183,Ma9,15,–,,,Szeto2018
Ma9-16-184,Ma9,16,–,,,Szeto2018
Ma9-17-185,Ma9,17,–,,,Szeto2018
Ma9-18-186,Ma9,18,–,,,Szeto2018
Ma9-19-187,Ma9,19,+,,,Szeto2018
Ma9-20-188,Ma9,20,+,,,Szeto2018
Ma9-21-189,Ma9,21,–,,,Szeto2018
Ma10-1-190,Ma10,1,–,,,Szeto2018
Ma10-2-191,Ma10,2,+,,,Szeto2018
Ma10-3-192,Ma10,3,–,,,Szeto2018
Ma10-4-193,Ma10,4,–,,,Szeto2018
Ma10-5-194,Ma10,5,–,,,Szeto2018
Ma10-6-195,Ma10,6,+,,,Szeto2018
Ma10-7-196,Ma10,7,+,,,Szeto2018
Ma10-8-197,Ma10,8,+,,,Szeto2018
Ma10-9-198,Ma10,9,+,,,Szeto2018
Ma10-10-199,Ma10,10,+,,,Szeto2018
Ma10-11-200,Ma10,11,–,,,Szeto2018
Ma10-12-201,Ma10,12,–,,,Szeto2018
Ma10-13-202,Ma10,13,–,,,Szeto2018
Ma10-14-203,Ma10,14,–,,,Szeto2018
Ma10-15-204,Ma10,15,–,,,Szeto2018
Ma10-16-205,Ma10,16,–,,,Szeto2018
Ma10-17-206,Ma10,17,–,,,Szeto2018
Ma10-18-207,Ma10,18,–,,,Szeto2018
Ma10-19-208,Ma10,19,+,,,Szeto2018
Ma10-20-209,Ma10,20,+,,,Szeto2018
Ma10-21-210,Ma10,21,–,,,Szeto2018
Ma11-1-211,Ma11,1,–,,,Szeto2018
Ma11-2-212,Ma11,2,+,,,Szeto2018
Ma11-3-213,Ma11,3,–,,,Szeto2018
Ma11-4-214,Ma11,4,–,,,Szeto2018
Ma11-5-215,Ma11,5,–,,,Szeto2018
Ma11-6-216,Ma11,6,+,,,Szeto2018
Ma11-7-217,Ma11,7,+,,,Szeto2018
Ma11-8-218,Ma11,8,+,,,Szeto2018
Ma11-9-219,Ma11,9,+,,,Szeto2018
Ma11-10-220,Ma11,10,+,,,Szeto2018
Ma11-11-221,Ma11,11,–,,,Szeto2018
Ma11-12-222,Ma11,12,–,,,Szeto2018
Ma11-13-223,Ma11,13,–,,,Szeto2018
Ma11-14-224,Ma11,14,–,,,Szeto2018
Ma11-15-225,Ma11,15,–,,,Szeto2018
Ma11-16-226,Ma11,16,–,,,Szeto2018
Ma11-17-227,Ma11,17,+,,,Szeto2018
Ma11-18-228,Ma11,18,–,,,Szeto2018
Ma11-19-229,Ma11,19,+,,,Szeto2018
Ma11-20-230,Ma11,20,+,,,Szeto2018
Ma11-21-231,Ma11,21,–,,,Szeto2018
Ma12-1-232,Ma12,1,–,,,Szeto2018
Ma12-2-233,Ma12,2,+,,,Szeto2018
Ma12-3-234,Ma12,3,–,,,Szeto2018
Ma12-4-235,Ma12,4,–,,,Szeto2018
Ma12-5-236,Ma12,5,–,,,Szeto2018
Ma12-6-237,Ma12,6,+,,,Szeto2018
Ma12-7-238,Ma12,7,+,,,Szeto2018
Ma12-8-239,Ma12,8,+,,,Szeto2018
Ma12-9-240,Ma12,9,+,,,Szeto2018
Ma12-10-241,Ma12,10,–,,,Szeto2018
Ma12-11-242,Ma12,11,–,,,Szeto2018
Ma12-12-243,Ma12,12,+,,,Szeto2018
Ma12-13-244,Ma12,13,–,,,Szeto2018
Ma12-14-245,Ma12,14,–,,,Szeto2018
Ma12-15-246,Ma12,15,–,,,Szeto2018
Ma12-16-247,Ma12,16,–,,,Szeto2018
Ma12-17-248,Ma12,17,–,,,Szeto2018
Ma12-18-249,Ma12,18,–,,,Szeto2018
Ma12-19-250,Ma12,19,+,,,Szeto2018
Ma12-20-251,Ma12,20,+,,,Szeto2018
Ma12-21-252,Ma12,21,–,,,Szeto2018
Ma13-1-253,Ma13,1,–,,,Szeto2018
Ma13-2-254,Ma13,2,+,,,Szeto2018
Ma13-3-255,Ma13,3,–,,,Szeto2018
Ma13-4-256,Ma13,4,–,,,Szeto2018
Ma13-5-257,Ma13,5,+,,,Szeto2018
Ma13-6-258,Ma13,6,+,,,Szeto2018
Ma13-7-259,Ma13,7,+,,,Szeto2018
Ma13-8-260,Ma13,8,+,,,Szeto2018
